0,j_1446403,R23_22,268,50.0,0.3,9
0,j_1446403,R11_10,326,50.0,0.3,9
0,j_1446403,R7_21,227,50.0,0.3,15
0,j_1446403,J25_16_18_24,382,50.0,0.39,9
0,j_1446403,J27_6_8_26,543,50.0,0.49,15
0,j_1446403,R19_21,229,50.0,0.3,9
0,j_1446403,R13_12,257,50.0,0.2,9
0,j_1446403,R20_19,258,50.0,0.39,9
0,j_1446403,R5_21,225,50.0,0.3,9
0,j_1446403,R2_1,227,50.0,0.2,3
0,j_1446403,R10_9,286,50.0,0.3,9
0,j_1446403,R16_15,249,50.0,0.2,3
0,j_1446403,R6_5,237,50.0,0.2,3
0,j_1446403,R18_17,237,50.0,0.2,3
0,j_1446403,R15_14,241,50.0,0.2,3
0,j_1446403,R8_7,233,50.0,0.2,3
0,j_1446403,R3_2,237,50.0,0.2,3
0,j_1446403,J24_20_23,324,50.0,0.3,9
0,j_1446403,R4_3,245,50.0,0.2,3
0,j_1446403,R17_21,229,50.0,0.3,9
0,j_1446403,J28_4_27,627,50.0,0.3,15
0,j_1446403,R9_21,247,50.0,0.3,9
0,j_1446403,R14_21,226,50.0,0.3,9
0,j_1446403,M21,204,50.0,0.59,18
0,j_1446403,R22_21,236,50.0,0.3,9
0,j_1446403,R1_21,218,50.0,0.2,3
0,j_1446403,J26_11_13_25,439,50.0,0.3,21
0,j_1446403,R12_21,229,50.0,0.3,9
0,j_2063029,M1,1,100.0,0.3,1
0,j_2063029,R4_3,12,100.0,0.39,3
0,j_2063029,M3_2,12,100.0,0.3,3
0,j_2063029,R2_1,2,100.0,0.39,1
0,j_2133576,J3_1_2,43,100.0,0.49,3
0,j_2133576,M2,2,100.0,0.3,1
0,j_2133576,M1,40,100.0,0.35,1
0,j_2249414,M2,2,100.0,0.3,1
0,j_2249414,M1,20,100.0,0.3,1
0,j_2249414,J3_1_2,23,100.0,0.59,3
0,j_2249414,R4_3,25,100.0,0.39,3
0,j_2376780,R2_1,3,100.0,0.39,1
0,j_2376780,R4_3,13,100.0,0.39,1
0,j_2376780,M1,2,100.0,0.3,1
0,j_2376780,M3_2,12,100.0,0.3,1
0,j_3469259,R4_3,8,100.0,0.39,1
0,j_3469259,M1,0,100.0,0.3,1
0,j_3469259,M3_2,8,100.0,0.3,1
0,j_3469259,R2_1,1,100.0,0.39,1
0,j_3758568,task_LTYxMjEzOTY4MDkyNzc3MDY0Njg=,197,100.0,0.16,1
0,j_3758568,task_LTU0MTQyNTI1NDMzMzE0ODA0MTU=,210,100.0,0.1,1
0,j_769579,R2_1,1,50.0,0.2,1
0,j_769579,M1,0,50.0,0.2,1
0,j_818792,M5,1,100.0,0.3,1
0,j_818792,R2_1,0,100.0,0.39,1
0,j_818792,M6,1,100.0,0.3,1
0,j_818792,M3,1,100.0,0.3,1
0,j_818792,M8_7,5,100.0,0.3,1
0,j_818792,R7_6,3,100.0,0.39,1
0,j_818792,J9_2_4_5_8,7,100.0,0.49,5
0,j_818792,M1,0,100.0,0.3,1
0,j_818792,R4_3,2,100.0,0.49,1
0,j_984590,M7,1,50.0,0.2,1
0,j_984590,M4,0,50.0,0.2,1
0,j_984590,M1,1,50.0,0.2,1
0,j_984590,R3_2,2,50.0,0.2,1
0,j_984590,R2_1,1,50.0,0.2,1
0,j_984590,J8_3_5_7,3,50.0,0.2,1
0,j_984590,R5_4,1,50.0,0.2,1
0,j_984590,M6_3_5,3,50.0,0.2,3
1,j_1027481,M1,11,50.0,0.39,1
1,j_1072695,M1,9,50.0,0.39,1
1,j_1091764,M1,10,50.0,0.39,1
1,j_1337806,M1,11,50.0,0.39,1
1,j_1567143,M1,11,50.0,0.39,1
1,j_1646007,M1,11,50.0,0.39,1
1,j_1802208,M1,36,100.0,0.35,1
1,j_1802208,M2,1,100.0,0.3,1
1,j_1802208,J3_1_2,38,100.0,0.49,3
1,j_2190529,M1,8,50.0,0.39,1
1,j_2429537,M1,11,50.0,0.39,1
